Milliseconds,Seconds,Latitude,Lat Degree,Lat Minute,Lat Second,Longitude,Long Degree,Long Minute,Long Second,Altitude,Speed,AcclX,AcclY,AcclZ,GyroX,GyroY,GyroZ,Course,Heading
81015,81,49.2432644,49,14,35.75184,-121.8877831,-121,-53,-16.01916,663.352,6.883,12.84652278,-3.172661871,2.901678657,-0.341853035,0.020234292,-0.129925453,217,220
82005,82,49.2432216,49,14,35.59776,-121.887875,-121,-53,-16.35,662.332,8.048,8.088729017,0.820143885,4.8441247,0.101171459,-0.005324814,0.077742279,208.7,210.7
83012,83,49.243177,49,14,35.4372,-121.8879758,-121,-53,-16.71288,661.017,8.347,9.932853717,1.227817746,0.467625899,-0.722044728,-0.088391906,-0.197018104,211.5,214.5
84021,84,49.2431312,49,14,35.27232,-121.888073,-121,-53,-17.0628,660.076,8.683,10.07673861,1.136690647,3.486810552,0.061767838,-0.193823216,0.039403621,214,211
85030,85,49.2430834,49,14,35.10024,-121.8881715,-121,-53,-17.4174,659.383,8.782,10.62829736,-0.316546763,3.709832134,-0.020234292,-0.080937167,-0.104366347,212.2,212.2
86020,86,49.2430422,49,14,34.95192,-121.8882708,-121,-53,-17.77488,659.856,8.254,10.54916067,-1.299760192,3.023980815,0.204472843,0.101171459,0.348242812,212,211
87010,87,49.2430346,49,14,34.92456,-121.8883782,-121,-53,-18.16152,661.222,8.082,9.685851319,-0.079136691,0.076738609,0.066027689,0.141640043,0.312034079,217.7,218.7
88017,88,49.2430186,49,14,34.86696,-121.8884923,-121,-53,-18.57228,662.319,7.836,8.388489209,-1.050359712,8.669064748,0.020234292,0.268370607,-0.040468584,212.4,209.4
89045,89,49.2430081,49,14,34.82916,-121.8885813,-121,-53,-18.89268,663.226,5.774,6.227817746,-0.462829736,4.333333333,0.273695421,0.236421725,0.095846645,211.4,208.4
90016,90,49.2430064,49,14,34.82304,-121.8886318,-121,-53,-19.07448,661.674,4.136,7.700239808,1.712230216,-1.304556355,0.309904153,-0.340788072,0.034078807,210.9,210.9
91025,91,49.2429832,49,14,34.73952,-121.8886955,-121,-53,-19.3038,658.776,5.557,9.659472422,-1.035971223,1.486810552,-1.056443024,0.272630458,-0.297124601,210.1,211.1
92015,92,49.2429522,49,14,34.62792,-121.8887852,-121,-53,-19.62672,655.273,8.067,11.99280576,-1.258992806,0.004796163,0.127795527,-0.361022364,0.18743344,214.7,211.7
